"aclass","meanval","frommodel","var"
1,0.400404448938322,73,"nTrans"
2,0.371075932385296,73,"nTrans"
1,0.42896174863388,74,"nTrans"
2,0.367720883534137,74,"nTrans"
1,0.38008800880088,75,"nTrans"
2,0.367592592592593,75,"nTrans"
1,0.382702702702703,76,"nTrans"
2,0.357283464566929,76,"nTrans"
1,0.450222882615156,77,"nTrans"
2,0.365075439030423,77,"nTrans"
1,0.394539249146758,78,"nTrans"
2,0.369424792371578,78,"nTrans"
1,0.415094339622642,79,"nTrans"
2,0.363240418118467,79,"nTrans"
1,0.392679459843639,80,"nTrans"
2,0.354363827549947,80,"nTrans"
1,0.393999016232169,81,"nTrans"
2,0.364517331345509,81,"nTrans"
1,0.450222882615156,82,"nTrans"
2,0.365075439030423,82,"nTrans"
1,0.392466053438458,83,"nTrans"
2,0.362926428277846,83,"nTrans"
1,0.449404761904762,84,"nTrans"
2,0.365232443125618,84,"nTrans"
1,0.426453819840365,85,"nTrans"
2,0.365980724146913,85,"nTrans"
1,0.389453860640301,86,"nTrans"
2,0.361475012130034,86,"nTrans"
1,0.437325905292479,87,"nTrans"
2,0.366433216608304,87,"nTrans"
1,0.410774410774411,88,"nTrans"
2,0.333333333333333,88,"nTrans"
1,0.396851975887475,89,"nTrans"
2,0.343352601156069,89,"nTrans"
1,0.395437262357414,90,"nTrans"
2,0.340384615384615,90,"nTrans"
1,0.450222882615156,91,"nTrans"
2,0.365075439030423,91,"nTrans"
1,0.378378378378378,92,"nTrans"
2,0.37655357742694,92,"nTrans"
1,0.414915966386555,93,"nTrans"
2,0.36769394261424,93,"nTrans"
1,0.387476160203433,94,"nTrans"
2,0.356687898089172,94,"nTrans"
1,0.3765,95,"nTrans"
2,0.377761413843888,95,"nTrans"
1,0.377248984329658,96,"nTrans"
2,0.377213498162379,96,"nTrans"
1,0.384579870729455,97,"nTrans"
2,0.370980392156863,97,"nTrans"
1,0.390714285714286,98,"nTrans"
2,0.357515657620042,98,"nTrans"
1,0.394701392007185,99,"nTrans"
2,0.361591000401768,99,"nTrans"
