realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,summer,realtime,HHcomp,oppo,male,female,white,visitor,engflu,age,income,disability,nonbinary,duration,dayofweek_Friday,dayofweek_Saturday,dayofweek_Sunday,dayofweek_Weekday,plan_couldhave,plan_known,plan_nonweb,plan_web,access_bike,access_drive,access_walk,egress_bike,egress_drive,egress_walk,worktype_fullO,worktype_fullT,worktype_partialT,worktype_unemp,worktype_unfixed,stu_K12,stu_full,stu_no,stu_part,choicerider_choicerider,choicerider_dependent,choicerider_potentially,purpose_HBEd,purpose_HBO,purpose_HBSh,purpose_HBSo,purpose_HBW,purpose_NHB
783.0,902,0.0,0.0,11.0,-3.0,6.0,0.0,3.0,160,0.0,11.0,17.0,20.0,20.0,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,20.0,0.0,0,0.19661261198625998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
788.0,122,1.0,0.0,12.0,-7.0,6.0,0.0,0.0,169,7.0,12.0,18.0,25.0,25.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,47.5,0.0,0,3.2435007683658568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
785.0,902,0.0,0.0,10.0,-2.0,6.0,0.0,2.0,169,0.0,10.0,16.0,18.0,18.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,47.5,0.0,0,3.2435007683658568,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
788.0,122,1.0,0.0,20.0,-1.0,6.0,0.0,0.0,170,1.0,20.0,26.0,27.0,27.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,7.5,0.0,0,0.7731849221094902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
807.0,902_121,0.0,1.0,11.34,-4.0,6.659999999999968,0.0,2.0,170,2.0,11.34,17.999999999999968,21.999999999999968,24.999999999999968,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,21.0,7.5,0.0,0,0.7731849221094902,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
836.0,122,1.0,0.0,4.0,-5.0,6.0,0.0,0.0,172,5.0,4.0,10.0,15.0,15.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,21.0,7.5,0.0,0,2.0666666666666664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
854.0,902,0.0,0.0,7.0,-3.0,6.0,0.0,3.0,172,0.0,7.0,13.0,16.0,16.0,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,21.0,7.5,0.0,0,2.0666666666666664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
875.0,122,1.0,0.0,15.0,-1.0,6.0,0.0,0.0,173,1.0,15.0,21.0,22.0,22.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,125.0,0.0,0,-3.583333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
840.0,902,0.0,0.0,11.0,-3.0,6.0,0.0,3.0,173,0.0,11.0,17.0,20.0,20.0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,21.0,125.0,0.0,0,-3.583333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
846.0,122,1.0,0.0,5.0,-4.0,6.0,0.0,0.0,176,4.0,5.0,11.0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,0.0,0.0,0,0.9516159327569993,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
