realDep,routes,match,nTrans,wk,iv,wt,nwk,tiv,id,ntiv,aux,ov,tt,cost,tway,matchiv,matchaux,compProp,PS
1066,5,1,0,6.0,12,6.0,0,0,177326,12,6.0,12.0,24.0,24.0,0,12,6.0,1.0,0.049497
1065,923_5,0,1,6.74,13,5.26,0,4,177326,9,6.74,12.0,25.0,35.0,1,12,6.0,1.4583333333333333,0.049511
1111,21_904,0,1,13.56,16,8.44,0,7,177363,9,13.56,22.0,38.0,48.0,1,15,25.0,1.0,0.0
1124,17,1,0,25.0,15,8.0,0,0,177363,15,25.0,33.0,48.0,48.0,0,15,25.0,1.0,0.0
1080,902,1,0,17.0,32,6.0,0,32,177366,0,17.0,23.0,55.0,55.0,1,32,17.0,1.0,0.043322
1081,121_902,0,1,15.56,34,4.44,0,32,177366,2,15.56,20.0,54.0,64.0,1,32,17.0,1.1636363636363636,0.038508
1137,465,0,0,6.0,7,9.0,0,0,177368,7,6.0,15.0,22.0,22.0,0,6,12.0,1.0,0.145505
1114,902,0,0,10.0,8,6.0,0,8,177368,0,10.0,16.0,24.0,24.0,1,6,12.0,1.0909090909090908,0.0
1125,3,1,0,12.0,6,11.0,0,0,177368,6,12.0,23.0,29.0,29.0,0,6,12.0,1.3181818181818181,0.113504
1104,7,0,0,15.0,6,10.0,0,0,177368,6,15.0,25.0,31.0,31.0,0,6,12.0,1.4090909090909092,0.113215
1112,122_465,0,1,6.22,5,10.78,0,0,177368,5,6.22,17.0,22.0,32.0,0,6,12.0,1.4545454545454546,0.023102
1089,716_32,0,1,10.18,30,15.82,0,0,177369,30,10.18,26.0,56.0,66.0,0,30,4.92,1.0,0.0
1050,724_5_22,0,2,6.9,29,13.1,0,0,177369,29,6.9,20.0,49.0,69.0,0,30,4.92,1.0454545454545454,0.017792
1080,724_923_5,0,2,12.54,27,13.46,0,5,177369,22,12.54,26.0,53.0,73.0,1,30,4.92,1.106060606060606,0.0
1080,724_22,1,1,4.92,30,29.08,0,0,177369,30,4.92,34.0,64.0,74.0,0,30,4.92,1.121212121212121,0.018756
1075,902,1,0,20.0,34,6.0,0,34,177370,0,20.0,26.0,60.0,60.0,1,34,20.0,1.0,0.064624
1098,3,0,0,16.0,40,11.0,0,0,177370,40,16.0,27.0,67.0,67.0,0,34,20.0,1.1166666666666667,0.0
1092,121_902,0,1,19.56,34,4.44,0,32,177370,2,19.56,24.0,58.0,68.0,1,34,20.0,1.1333333333333333,0.061034
1089,6_902,0,1,14.16,36,10.84,0,32,177370,4,14.16,25.0,61.0,71.0,1,34,20.0,1.1833333333333333,0.054812
1100,901_54_75_62,0,3,11.78,52,10.22,0,11,177379,41,11.78,22.0,74.0,104.0,1,58,8.6,1.0,0.000342
1086,22_902_62,1,2,8.6,58,21.4,0,27,177379,31,8.6,30.0,88.0,108.0,1,58,8.6,1.0384615384615385,5e-06
