tuneID,tunegroup,updates,nclass,maxnorm,niter,nnodes,nepoch,lrate,l2,rho0,rho4,rhomax,rhopmean,membership,desired,successprop,postestrho,testrhodes
370,18,EasedBetaCond,2,3.0,200,64,300,0.03,0.002,200.0,138.0,0.6651544498641786,0.4466028369914342,142.0,0.0,0.0,138.0,
371,18,,2,3.0,200,128,300,0.02,0.005,197.0,115.0,0.639678959825061,0.4250661312434626,147.0,1.0,0.005,144.0,0.17749648610796787
372,18,,2,1.0,200,64,300,0.03,0.002,199.0,158.0,0.7199937429205994,0.5028616055448698,177.0,0.0,0.0,120.0,
373,18,,2,1.0,200,128,300,0.03,0.002,200.0,146.0,0.7612134198872352,0.4888702943562056,148.0,0.0,0.0,133.0,
374,18,,2,1.0,200,128,500,0.05,0.002,199.0,56.0,0.7025136570869469,0.3652060708065814,72.0,0.0,0.0,185.0,
375,18,,2,2.0,200,64,300,0.03,0.002,200.0,144.0,0.7378061988145408,0.4705892627749631,146.0,0.0,0.0,144.0,
376,18,,2,2.0,200,128,300,0.02,0.002,199.0,148.0,0.7640952924223317,0.512836774577512,151.0,0.0,0.0,109.0,
377,18,,2,2.0,200,128,500,0.03,0.005,200.0,124.0,0.6822906376996725,0.44975492984189513,139.0,1.0,0.005,167.0,0.32619099523652095
378,18,,2,3.0,200,64,300,0.02,0.002,200.0,143.0,0.7245542154091127,0.4842113816091808,143.0,0.0,0.0,115.0,
379,18,,2,3.0,200,64,500,0.02,0.002,200.0,149.0,0.7828349644195141,0.5130011009534822,141.0,0.0,0.0,124.0,
380,18,,2,3.0,200,128,500,0.02,0.005,200.0,141.0,0.7530592335013688,0.47006687760839566,138.0,1.0,0.005,143.0,0.2975011170856491
381,18,,2,1.0,200,64,300,0.04,0.002,200.0,160.0,0.6902911227992437,0.47804146884752724,151.0,0.0,0.0,152.0,
382,18,,2,1.0,200,64,300,0.04,0.005,200.0,101.0,0.6185990021093324,0.40005661751631477,139.0,0.0,0.0,192.0,
