,Model71,Model77,Model89,Model104,Model116
292,4.138890290050767e-06,0.14280961453914642,0.0025154780596494675,0.042751263827085495,0.01632247120141983
325,2.083530332480399e-27,1.5244037865418801e-24,6.181213776759394e-29,0.0,1.0679280361294093e-21
329,1.2589263316821496e-22,1.0493302893266332e-09,1.0555198315387315e-07,1.3917762341913997e-13,7.530361223473392e-09
369,9.226177742937341e-32,5.560052159125917e-06,3.944793558236538e-26,7.728519157979008e-09,1.2419999393387116e-06
372,3.272183017053904e-26,0.0023071744944900274,0.0021985427010804415,9.556367985988376e-19,1.8418495624072245e-13
415,1.3022059763177632e-25,1.8046941363536462e-07,1.1682344582980315e-17,1.9415323515570293e-10,1.8298791815141158e-07
435,4.3070385475437847e-23,5.886669782739773e-07,3.997972726210719e-06,1.6520172543486834e-26,3.508491204229358e-07
469,6.758317340427311e-06,1.4052798036345848e-08,0.006527652032673359,3.285461231414613e-14,1.7533377416611984e-08
478,8.324632653966546e-05,3.239719603698177e-09,0.001853690017014742,4.14605949572433e-09,0.0009585634106770158
483,5.328283330819967e-26,2.316054633411113e-06,0.001567550702020526,0.0014615906402468681,4.05510247603047e-09
504,8.0808790672727215e-22,1.9923037148764003e-25,3.0454078148167696e-10,8.716265043062776e-09,6.145295210202573e-12
522,8.994291422759204e-12,7.892595021985471e-07,0.00644466420635581,4.868170799454674e-05,3.9197133446577936e-05
523,0.0005067262100055814,1.884382250239014e-08,1.5357241034408275e-09,0.23813758790493011,0.0011330561246722937
546,1.1649215663281365e-13,1.1581352055145544e-06,1.4593294021120196e-12,1.0,2.6506160793360323e-05
552,2.888880467962286e-19,2.829383806037919e-21,1.6769355212053495e-22,4.31174149068057e-30,0.00014381541404873133
555,3.8099758967291564e-05,0.07868236303329468,0.2319488376379013,0.007362680975347757,0.008528397418558598
574,4.226631291577221e-32,9.369523823465897e-09,3.713365101671155e-24,8.559056388879216e-26,3.388179868890306e-19
606,1.2018897772099642e-15,3.3429929935380187e-09,1.9836869924461098e-08,0.01563592627644539,2.592581154203799e-07
607,0.7738405466079712,0.004556520376354456,0.6892945170402527,0.6395092606544495,0.2755618393421173
788,5.2656980896772446e-21,0.016714487224817276,0.002648458117619157,8.533315121894702e-05,1.5818962743385005e-18
795,2.1668778221934672e-14,1.1890281257365132e-06,2.2802039438829524e-06,0.0988185778260231,5.757982535214978e-07
812,1.2418384896795143e-11,0.00011290219845250249,3.103351603472859e-11,5.255335508991266e-06,6.729819142492488e-05
815,0.2449553906917572,0.0012066335184499621,0.061126306653022766,0.236733078956604,0.04235443100333214
816,1.1635092960204929e-05,3.110301349806832e-08,5.118331501465661e-21,9.91074305956019e-11,6.894965067644199e-12
