nnodes,nepoch,lrate,l2,rho0,rho4,rhomax,rhopmean,membership,desired
128,500,0.05,0.0,100.0,0.0,0.3881214073831325,0.19681580716547395,0.0,0.0
128,500,0.05,0.001,100.0,33.0,0.6982104186027429,0.33644638681427713,48.0,0.0
128,500,0.05,0.01,100.0,22.0,0.519315782475581,0.3509948119738877,44.0,0.0
128,500,0.05,0.05,100.0,0.0,0.38664930571260436,0.2762812607363479,0.0,0.0
128,500,0.05,0.1,100.0,0.0,0.38669144889339224,0.2619863861857,0.0,0.0
128,500,0.1,0.0,100.0,0.0,0.3881214020446776,0.17909374015945262,0.0,0.0
128,500,0.1,0.001,100.0,0.0,0.38812140869720846,0.22823604396569494,1.0,0.0
128,500,0.1,0.01,100.0,3.0,0.44305350608895744,0.2531045355882699,12.0,0.0
128,500,0.1,0.05,100.0,0.0,0.3911887316030538,0.2624843094366489,0.0,0.0
128,500,0.1,0.1,100.0,0.0,0.3911910379993415,0.2556161094031624,0.0,0.0
128,500,0.2,0.0,100.0,0.0,0.388121401913038,0.1635299066953664,0.0,0.0
128,500,0.2,0.001,100.0,0.0,0.388121402481043,0.21855616627397353,1.0,0.0
128,500,0.2,0.01,100.0,0.0,0.38811482374248596,0.22725739637267872,0.0,0.0
128,500,0.2,0.05,100.0,0.0,0.3868049946141291,0.23144053274031964,0.0,0.0
128,500,0.2,0.1,100.0,0.0,0.3870056483719857,0.228280021219324,0.0,0.0
